"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Приоритет","Тип","Состояние","Исполнитель","Подсистема","Версии исправления","Затронутые версии","Исправлено в сборке","Описание","Голоса"
"asn-22","автомат с напитками","","Правильность выдачи сдачи","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Критическая","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)



![](image3.png)


","0"
"asn-21","автомат с напитками","","Применение купона","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Серьезная","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-20","автомат с напитками","","Использование всех номиналов купюр","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Обычная","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-19","автомат с напитками","","Удаление позиций из очереди","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Серьезная","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-18","автомат с напитками","","Стоимость напитков","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Критическая","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-17","автомат с напитками","","Максимальное количество позиций","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Серьезная","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-16","автомат с напитками","","Расположение элементов интерфейса","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Обычная","Косметика","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","При добавлении более 5 напитков в очередь, элементы перекрываются

![](image1.png)","0"
"asn-15","автомат с напитками","","Неправильная надпись ""Сума заказа"" на 2 экране","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Обычная","Косметика","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-14","автомат с напитками","","Цена и объем Nuka Cola 0,2 л не соответсвует","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Серьезная","Ошибка","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
"asn-13","автомат с напитками","","Неправильная надпись ""Сума заказа"", 1 экран","sokolovskii-i@mail.ru","13 Sep 2021","13 Sep 2021",,"Обычная","Косметика","Зарегистрирована","sokolovskii-i@mail.ru","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","![](image1.png)","0"
